scheduler,carbon_g,sla_viol,cold_rate,p95_ms,warm_idle_g,invocations,reduction_pct
FIFO,231.3317666724302,0.0038893690579083835,0.016779849364119026,28652.99999999843,26.504478269896193,80990.0,0.0
Wait-Awhile,239.28873080357926,0.0038893690579083835,0.022508951722434868,50866.99999999837,34.95208567474048,80990.0,-3.439633149223405
Lechowicz,242.9094005307908,0.0038893690579083835,0.02504012841091493,52546.000000002095,38.700674429065735,80990.0,-5.004774754845809
Spatial,73.11391947898814,0.0038893690579083835,0.016779849364119026,28797.99999999843,11.589613598615914,80990.0,68.39434525975902
GreenFaaS-v1,78.32698336557876,0.006432892949746883,0.0298678849240647,35064.00000000169,17.27400114186851,80990.0,66.14084416841412
GreenFaaS,73.2194765390444,0.0038893690579083835,0.016841585380911222,28797.99999999843,11.653140519031139,80990.0,68.34871509768719
