setup,scheduler,carbon_mean_g,carbon_std_g,reduction_mean_pct,reduction_std_pct,cold_rate_mean_pct,cold_rate_std_pct,n_seeds
Synthetic 5-region,FIFO,51.57289014764515,0.36553980290682614,0.0,0.0,0.06873663550033869,0.0020040081478736923,5
Synthetic 5-region,Wait-Awhile,209.65667580427944,2.5099292302002336,-306.5277573165484,4.2675527452691675,2.030090423037457,0.014571966934395558,5
Synthetic 5-region,Lechowicz,174.51818420965984,1.6397965942448698,-238.39790787767868,3.155197144667207,2.3878888512420553,0.01838692914482139,5
Synthetic 5-region,Spatial,13.971353881962965,0.06628881102092647,72.9081930879361,0.26072079647158175,0.029973413238423185,0.0007102057626193711,5
Synthetic 5-region,GreenFaaS,14.52163538686426,0.07201837999446145,71.84080380427238,0.31508216778598036,0.047672692536268935,0.002988900398423832,5
Real LWA 4-region,FIFO,33.335284102713224,0.23959686174231623,0.0,0.0,0.05403926995731247,0.002773953465991905,5
Real LWA 4-region,Wait-Awhile,92.07578527577601,0.3639354136877788,-176.22425130565807,2.499731327382532,1.2936403833782164,0.0211884905988359,5
Real LWA 4-region,Lechowicz,145.5261173248295,0.9866133328502806,-336.5708731481266,4.317714632115192,2.8357446686918846,0.017009219759215367,5
Real LWA 4-region,Spatial,11.627067094937466,0.013685487507521233,65.11954136980171,0.22834928987336423,0.028006108601803355,0.0007279294966052131,5
Real LWA 4-region,GreenFaaS,11.788992665200638,0.027237191530757366,64.63376432428288,0.243968626922384,0.03402329165794598,0.0006955600094534954,5
Real single-region DE,FIFO,36.470948391291834,0.1308487246868084,0.0,0.0,0.015160706889414479,0.000525433760595918,5
Real single-region DE,Wait-Awhile,100.89181718761625,1.9858339021852822,-176.65175335031304,6.273166721964701,1.6069019450883852,0.050907944848667494,5
Real single-region DE,Lechowicz,153.23599646960764,1.297135028503647,-320.1570930338371,2.889190605531828,2.440712538101887,0.025462531150380323,5
Real single-region DE,Spatial,36.470948391291834,0.1308487246868084,0.0,0.0,0.015160706889414479,0.000525433760595918,5
Real single-region DE,GreenFaaS,36.470948391291834,0.1308487246868084,0.0,0.0,0.015160706889414479,0.000525433760595918,5
