scheduler,carbon_g,reduction_pct,sla_viol,cold_rate,p95_ms,invocations
FIFO,36.083051140509376,0.0,3.465143543571292e-05,0.0005255467707749793,1968.7764058617176,173153.0
Wait-Awhile,94.8699557479325,-162.92110214988108,3.465143543571292e-05,0.01232436053663523,600692.7041224408,173153.0
Spatial,12.790108681099209,64.55369411169298,3.465143543571292e-05,0.0002829867227249889,1994.5934781531105,173153.0
GreenFaaS-v1,15.489806475029482,57.07179413760958,3.465143543571292e-05,0.003413166390417723,2023.9561567001513,173153.0
GreenFaaS,12.963463700291362,64.07326074003296,3.465143543571292e-05,0.0003465143543571292,1994.7947642431245,173153.0
