setup,seed,scheduler,carbon_g,cold_rate,warm_idle_g
Real coal-belt (DE/GB/PL),42,FIFO,66.83126670338163,0.0003638400720749857,2.2733661639654628
Real coal-belt (DE/GB/PL),42,Wait-Awhile,259.43005291086945,0.020813962218384895,188.22245364108372
Real coal-belt (DE/GB/PL),42,Spatial,37.99481607564358,0.0003465143543571292,1.327203973991147
Real coal-belt (DE/GB/PL),42,GreenFaaS-v1,53.12114731967343,0.002338971891910622,12.89413142866163
Real coal-belt (DE/GB/PL),42,GreenFaaS,39.29396227617387,0.00047356961762141,1.712926631928108
Real coal-belt (DE/GB/PL),43,FIFO,67.418596039722,0.00036006109423728026,2.142218735014314
Real coal-belt (DE/GB/PL),43,Wait-Awhile,267.42092912387574,0.021388790485095212,195.2387723521844
Real coal-belt (DE/GB/PL),43,Spatial,37.995084597175584,0.000342638783225799,1.2662082296420518
Real coal-belt (DE/GB/PL),43,GreenFaaS-v1,41.851241265958514,0.0005517065153635746,2.1764409780547185
Real coal-belt (DE/GB/PL),43,GreenFaaS,39.09645112887427,0.0004762098343138223,1.5814221136111053
Real coal-belt (DE/GB/PL),44,FIFO,67.51476779172019,0.00036516658551853654,2.3162027045060944
Real coal-belt (DE/GB/PL),44,Wait-Awhile,267.70920656376626,0.021515847070552502,195.52457357300395
Real coal-belt (DE/GB/PL),44,Spatial,37.96182093404746,0.00035937029051030583,1.3553926161423293
Real coal-belt (DE/GB/PL),44,GreenFaaS-v1,53.26499350926095,0.0024692216735062947,13.302564081335605
Real coal-belt (DE/GB/PL),44,GreenFaaS,39.41797434450606,0.0004810924856831513,1.6664088724144004
Real coal-belt (DE/GB/PL),45,FIFO,67.54601155865964,0.00039199861647547127,2.222332138038665
Real coal-belt (DE/GB/PL),45,Wait-Awhile,262.17996684679593,0.020672162333544707,190.0889127963401
Real coal-belt (DE/GB/PL),45,Spatial,38.21048974445775,0.00033435176111143135,1.2520767399765094
Real coal-belt (DE/GB/PL),45,GreenFaaS-v1,41.29408000362794,0.00040352798754827925,1.67399308689116
Real coal-belt (DE/GB/PL),45,GreenFaaS,38.862705912696306,0.0004208220441574912,1.4734240598157817
Real coal-belt (DE/GB/PL),46,FIFO,67.44006725387263,0.0003703660837258828,2.109556330239677
Real coal-belt (DE/GB/PL),46,Wait-Awhile,270.7377758521965,0.02180530317936135,198.38273801782506
Real coal-belt (DE/GB/PL),46,Spatial,38.131974299305064,0.00032407032326014747,1.2239199566167136
Real coal-belt (DE/GB/PL),46,GreenFaaS-v1,41.13224527531093,0.0003703660837258828,1.5895864543945464
Real coal-belt (DE/GB/PL),46,GreenFaaS,38.91794598311492,0.00043980972442448583,1.5062842599993391
