scheduler,mean_pct,std_pct,n_windows
Spatial,20.929567401820957,19.091937990846635,3
Caribou(1h),20.891938543029788,18.44024595371791,3
Caribou(6h),18.622360646881987,14.662526007835272,3
Caribou(24h),15.818085407369477,23.472828230371135,3
GreenFaaS,21.14802337764135,18.815260986188143,3
