shiftable_fraction,fifo_carbon_g,greenfaas_carbon_g,greenfaas_v1_carbon_g,spatial_carbon_g,greenfaas_gap_pct,greenfaas_v1_gap_pct,spatial_gap_pct,greenfaas_cold_rate,greenfaas_v1_cold_rate
0.0,6.201272954399348,6.201272954399348,6.201272954399348,6.201272954399348,0.0,0.0,0.0,0.005614637690732545,0.005614637690732545
0.01,6.201272954399348,6.201272954399348,6.201272954399348,6.201272954399348,0.0,0.0,0.0,0.005614637690732545,0.005614637690732545
0.02,6.201272954399348,6.201272954399348,6.201272954399348,6.201272954399348,0.0,0.0,0.0,0.005614637690732545,0.005614637690732545
0.05,6.201272954399348,5.975260520147709,5.9444742464888005,5.9444742464888005,3.644613548115145,4.141064420142448,4.141064420142448,0.0054825285685976615,0.005284364885395337
0.1,6.201272954399348,5.975260520147709,5.9444742464888005,5.9444742464888005,3.644613548115145,4.141064420142448,4.141064420142448,0.0054825285685976615,0.005284364885395337
0.25,6.201272954399348,4.880020683077499,4.834921309384753,4.834921309384753,21.306146029010353,22.033405964581338,22.033405964581338,0.004954092080058128,0.004689873835788361
