axis,x,scheduler,carbon_g,reduction_pct,sla_viol,cold_rate,invocations
intensity,0.5,FIFO,14.452831266599784,0.0,0.0005444975497610261,0.020993405529675116,16529.0
intensity,0.5,Wait-Awhile,29.783997516367922,-106.07725204125347,0.0005444975497610261,0.039022324399540204,16529.0
intensity,0.5,Spatial,3.054485312358368,78.86583427139826,0.0005444975497610261,0.005142476858854135,16529.0
intensity,0.5,GreenFaaS-v1,3.681964707039854,74.52426698186947,0.0005444975497610261,0.009982455078952145,16529.0
intensity,0.5,GreenFaaS,4.5640847174899655,68.42082611150745,0.0005444975497610261,0.009377457801439894,16529.0
intensity,1.0,FIFO,13.839675844190173,0.0,9.122977739934314e-05,0.005139277460162997,32884.0
intensity,1.0,Wait-Awhile,40.65181630875013,-193.73387618623707,9.122977739934314e-05,0.02174309694684345,32884.0
intensity,1.0,Spatial,3.4770870770804483,74.87595001338046,9.122977739934314e-05,0.001185987106191461,32884.0
intensity,1.0,GreenFaaS-v1,3.5538180584543024,74.32152242246211,9.122977739934314e-05,0.0014292665125897092,32884.0
intensity,1.0,GreenFaaS,4.123410266759002,70.20587538912633,9.122977739934314e-05,0.0021895146575842354,32884.0
intensity,2.0,FIFO,20.864345038029406,0.0,4.555670290955476e-05,0.0015489278989248617,65852.0
intensity,2.0,Wait-Awhile,67.88696864916383,-225.3731115231577,4.555670290955476e-05,0.016309299641620603,65852.0
intensity,2.0,Spatial,6.522765615606252,68.73726156408352,4.555670290955476e-05,0.0006681649760068031,65852.0
intensity,2.0,GreenFaaS-v1,6.6075929921362695,68.33069535567677,4.555670290955476e-05,0.0008200206523719856,65852.0
intensity,2.0,GreenFaaS,6.809176728735034,67.36453161446497,4.555670290955476e-05,0.0009566907611006499,65852.0
intensity,3.0,FIFO,29.257268930041484,0.0,4.053136621102656e-05,0.000982885630617394,98689.0
intensity,3.0,Wait-Awhile,95.99171386456933,-228.09526444214572,4.053136621102656e-05,0.015807232822300357,98689.0
intensity,3.0,Spatial,9.590198002103664,67.22114417092291,4.053136621102656e-05,0.0005471734438488586,98689.0
intensity,3.0,GreenFaaS-v1,9.654444218231783,67.00155355813625,4.053136621102656e-05,0.0006383690178236683,98689.0
intensity,3.0,GreenFaaS,9.739212288098052,66.71182019283492,4.053136621102656e-05,0.000648501859376425,98689.0
intensity,4.0,FIFO,38.246117833746354,0.0,4.551247041689423e-05,0.0006902724679895625,131832.0
intensity,4.0,Wait-Awhile,121.5015652004748,-217.68339398167163,4.551247041689423e-05,0.014488136416044663,131832.0
intensity,4.0,Spatial,12.5883530595648,67.08593244865887,4.551247041689423e-05,0.0004247830572243461,131832.0
intensity,4.0,GreenFaaS-v1,12.689606492878694,66.8211907204813,4.551247041689423e-05,0.0005309788215304326,131832.0
intensity,4.0,GreenFaaS,12.674231455219372,66.86139097747511,4.551247041689423e-05,0.00047029552764124035,131832.0
