setup,seed,scheduler,carbon_g,cold_rate,warm_idle_g
Real single-region DE,42,FIFO,36.35563036274201,0.00015015622022142267,0.5079690169662452
Real single-region DE,42,Wait-Awhile,101.09742916429741,0.016043614606735083,62.988158103814406
Real single-region DE,42,Lechowicz,153.03007718002874,0.02429065624043476,112.97607210675193
Real single-region DE,42,Spatial,36.35563036274201,0.00015015622022142267,0.5079690169662452
Real single-region DE,42,GreenFaaS,36.35563036274201,0.00015015622022142267,0.5079690169662452
Real single-region DE,43,FIFO,36.41628085187031,0.00015680079910333173,0.5126724337900067
Real single-region DE,43,Wait-Awhile,103.33233236243854,0.016551195460907237,65.067068339917
Real single-region DE,43,Lechowicz,154.10458465204215,0.02476291138431876,113.97319647338941
Real single-region DE,43,Spatial,36.41628085187031,0.00015680079910333173,0.5126724337900067
Real single-region DE,43,GreenFaaS,36.41628085187031,0.00015680079910333173,0.5126724337900067
Real single-region DE,44,FIFO,36.36428929805498,0.00015649996522222996,0.5220792674375299
Real single-region DE,44,Wait-Awhile,101.96684435454574,0.01656001483851522,63.8582902162103
Real single-region DE,44,Lechowicz,151.05100531802984,0.02410099464422341,111.09470537724735
Real single-region DE,44,Spatial,36.36428929805498,0.00015649996522222996,0.5220792674375299
Real single-region DE,44,GreenFaaS,36.36428929805498,0.00015649996522222996,0.5220792674375299
Real single-region DE,45,FIFO,36.645023141226865,0.00014411713841009974,0.47504509919991456
Real single-region DE,45,Wait-Awhile,98.11021440325447,0.015357122268980228,59.818055164599144
Real single-region DE,45,Lechowicz,153.9818265516262,0.02433273764916124,113.58281287701719
Real single-region DE,45,Spatial,36.645023141226865,0.00014411713841009974,0.47504509919991456
Real single-region DE,45,GreenFaaS,36.645023141226865,0.00014411713841009974,0.47504509919991456
Real single-region DE,46,FIFO,36.57351830256499,0.00015046122151363988,0.4891553496711991
Real single-region DE,46,Wait-Awhile,99.95226565354508,0.01583315007928149,61.66179455951366
Real single-region DE,46,Lechowicz,154.01248864631128,0.02454832698695617,113.7286187985538
Real single-region DE,46,Spatial,36.57351830256499,0.00015046122151363988,0.4891553496711991
Real single-region DE,46,GreenFaaS,36.57351830256499,0.00015046122151363988,0.4891553496711991
