topology,regions,scheduler,carbon_g,reduction_pct,sla_viol,cold_rate,p95_ms,invocations
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,FIFO,290.8615576194803,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,Wait-Awhile,305.26574746521413,-4.952249435650103,0.0038893690579083835,0.022780590196320533,47692.000000002736,80990.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,Lechowicz,312.4188538895792,-7.411531605115461,0.0038893690579083835,0.026534140017286083,48383.999999998196,80990.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,Spatial,74.66883038603983,74.32839492535301,0.0038893690579083835,0.016779849364119026,28682.99999999843,80990.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,GreenFaaS-v1,79.88189427263045,72.53611136294059,0.006432892949746883,0.0298678849240647,34949.999999998254,80990.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,GreenFaaS,75.32198686425858,74.10383569395631,0.0038893690579083835,0.016841585380911222,28682.99999999843,80990.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,FIFO,446.79224688126266,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,Wait-Awhile,459.6285746024579,-2.8729969713656542,0.0038893690579083835,0.021051981726139028,43942.999999999985,80990.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,Lechowicz,465.8792996218419,-4.272019685617264,0.0038893690579083835,0.025743919002345968,45811.00000000151,80990.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,Spatial,74.0682332019603,83.42222056918452,0.0038893690579083835,0.016779849364119026,28664.99999999843,80990.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,GreenFaaS-v1,79.28129708855093,82.2554447526883,0.006432892949746883,0.0298678849240647,34931.999999998254,80990.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,GreenFaaS,75.1940456108904,83.17024385813177,0.0038893690579083835,0.01687862699098654,28664.99999999843,80990.0
Coal-belt (DE/GB/PL),DE|GB|PL,FIFO,486.48592961680373,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Coal-belt (DE/GB/PL),DE|GB|PL,Wait-Awhile,503.8786842437409,-3.57518143240795,0.0038893690579083835,0.022113841214964812,54372.99999999959,80990.0
Coal-belt (DE/GB/PL),DE|GB|PL,Lechowicz,508.441576112099,-4.513110278973406,0.0038893690579083835,0.023793060871712558,51974.999999998545,80990.0
Coal-belt (DE/GB/PL),DE|GB|PL,Spatial,228.15351217444214,53.101724369674045,0.0038893690579083835,0.016779849364119026,28672.99999999843,80990.0
Coal-belt (DE/GB/PL),DE|GB|PL,GreenFaaS-v1,237.56885288028715,51.16634656475762,0.005901963205333992,0.023953574515372267,34459.000000000306,80990.0
Coal-belt (DE/GB/PL),DE|GB|PL,GreenFaaS,230.52333391539077,52.61459378753875,0.0038893690579083835,0.016829238177552785,28672.99999999843,80990.0
Single-region DE,DE,FIFO,297.3864033185813,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Single-region DE,DE,Wait-Awhile,301.25756297291787,-1.3017271842753035,0.0038893690579083835,0.019372762069391283,62049.99999999927,80990.0
Single-region DE,DE,Lechowicz,305.08850209693423,-2.5899296983332163,0.0038893690579083835,0.021434745030250647,64482.00000000361,80990.0
Single-region DE,DE,Spatial,297.3864033185813,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Single-region DE,DE,GreenFaaS-v1,312.36351635024704,-5.036246736412222,0.0063958513396715645,0.025287072478083716,34548.99999999907,80990.0
Single-region DE,DE,GreenFaaS,297.3864033185813,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Single-region CAISO,US-CAISO,FIFO,234.8327675622623,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Single-region CAISO,US-CAISO,Wait-Awhile,242.0676506715469,-3.080866092235777,0.0038893690579083835,0.022508951722434868,63842.00000000055,80990.0
Single-region CAISO,US-CAISO,Lechowicz,245.1124153038762,-4.377433289367681,0.0038893690579083835,0.02465736510680331,61060.999999999694,80990.0
Single-region CAISO,US-CAISO,Spatial,234.8327675622623,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
Single-region CAISO,US-CAISO,GreenFaaS-v1,250.14215709846658,-6.519273138551776,0.006840350660575379,0.028867761452031116,35111.000000004424,80990.0
Single-region CAISO,US-CAISO,GreenFaaS,234.8327675622623,0.0,0.0038893690579083835,0.016779849364119026,28652.99999999843,80990.0
