setup,seed,scheduler,carbon_g,cold_rate,warm_idle_g
Real LWA 4-region,42,FIFO,33.0360410957341,0.0005082210530571229,1.5913807127286825
Real LWA 4-region,42,Wait-Awhile,91.85804326260987,0.01297696257067449,58.37770404935639
Real LWA 4-region,42,Spatial,11.629828229385277,0.0002772114834857034,0.499870455522126
Real LWA 4-region,42,GreenFaaS-v1,14.33043534029562,0.0034073911511784375,3.099572194993008
Real LWA 4-region,42,GreenFaaS,11.802379067825198,0.00034073911511784376,0.6641820760370412
Real LWA 4-region,43,FIFO,33.373361661935036,0.0005342842043520933,1.6916998419320741
Real LWA 4-region,43,Wait-Awhile,91.88401140640434,0.012607945735308636,58.124417753634475
Real LWA 4-region,43,Spatial,11.621974009419276,0.00028456441318752793,0.5580868305573173
Real LWA 4-region,43,GreenFaaS-v1,14.69991137069295,0.0037748340524876157,3.519257228094593
Real LWA 4-region,43,GreenFaaS,11.776520473572546,0.000342638783225799,0.7083200593923349
Real LWA 4-region,44,FIFO,33.182978174284365,0.0005274628457489972,1.5759588399479443
Real LWA 4-region,44,Wait-Awhile,92.4744678272568,0.013157589668683778,58.81735377247501
Real LWA 4-region,44,Spatial,11.606739854582528,0.00028981475041153695,0.5062540079824597
Real LWA 4-region,44,GreenFaaS-v1,14.345178551561808,0.0034256103498643666,3.141863230042719
Real LWA 4-region,44,GreenFaaS,11.748422951359546,0.0003419814054856136,0.6424088451375792
Real LWA 4-region,45,FIFO,33.66440026634805,0.0005822332391768029,1.85226294279275
Real LWA 4-region,45,Wait-Awhile,91.70265162583325,0.012872542802790108,57.88086802106941
Real LWA 4-region,45,Spatial,11.643176372191169,0.00027094022021098747,0.449626812829281
Real LWA 4-region,45,GreenFaaS-v1,14.371630908660315,0.0034299878941603736,3.0764586502565816
Real LWA 4-region,45,GreenFaaS,11.798807276840154,0.0003285870755750274,0.5998600416642985
Real LWA 4-region,46,FIFO,33.41963931526457,0.0005497621555306072,1.6259994524112482
Real LWA 4-region,46,Wait-Awhile,92.45975225677583,0.013066978391453803,58.62234953704977
Real LWA 4-region,46,Spatial,11.63361700910908,0.0002777745627944121,0.49827456740704257
Real LWA 4-region,46,GreenFaaS-v1,14.269418938778543,0.0033564426337658127,3.0357366703896718
Real LWA 4-region,46,GreenFaaS,11.81883355640575,0.00034721820349301513,0.6767920147674026
