window_day,scheduler,invocations,carbon_g,cold_rate,sla_viol
0,FIFO,80990,231.3317666724302,0.016779849364119026,0.0038893690579083835
0,Wait-Awhile,80990,239.28873080357926,0.022508951722434868,0.0038893690579083835
0,Lechowicz,80990,242.9094005307908,0.02504012841091493,0.0038893690579083835
0,Spatial,80990,73.11391947898814,0.016779849364119026,0.0038893690579083835
0,GreenFaaS-v1,80990,78.32698336557876,0.0298678849240647,0.006432892949746883
0,GreenFaaS,80990,73.2194765390444,0.016841585380911222,0.0038893690579083835
1,FIFO,195825,238.12342840558827,0.007460743010340866,0.007455636410060002
1,Wait-Awhile,195825,242.75375871526586,0.008829311885612154,0.007455636410060002
1,Lechowicz,195825,245.6960891585077,0.009631048129707647,0.007455636410060002
1,Spatial,195825,83.8363984196341,0.007460743010340866,0.007455636410060002
1,GreenFaaS-v1,195825,92.25402264627441,0.015978552278820377,0.008109281246010468
1,GreenFaaS,195825,83.88825347335427,0.007470956210902591,0.007455636410060002
2,FIFO,276297,112.44907245960809,0.0035650043250560087,0.007234968168311636
2,Wait-Awhile,276297,116.37779866167595,0.004379345414535807,0.007234968168311636
2,Lechowicz,276297,118.45735034359274,0.004795564193603261,0.007234968168311636
2,Spatial,276297,69.47675401889335,0.0035650043250560087,0.007234968168311636
2,GreenFaaS-v1,276297,74.33579859440151,0.007470222260828022,0.007234968168311636
2,GreenFaaS,276297,69.53767700170054,0.0035722429125180514,0.007234968168311636
3,FIFO,289782,354.84455739421355,0.007526347392177568,0.005069327977583148
3,Wait-Awhile,289782,380.47520477430066,0.012574970149974808,0.005069327977583148
3,Lechowicz,289782,383.881499201944,0.013216831963337958,0.005069327977583148
3,Spatial,289782,205.50876033197642,0.007526347392177568,0.005069327977583148
3,GreenFaaS-v1,289782,209.13205080762197,0.010138655955166297,0.005069327977583148
3,GreenFaaS,289782,205.71124321616023,0.007529798262141886,0.005069327977583148
4,FIFO,91592,136.09261093428157,0.017479692549567646,0.006616298366669578
4,Wait-Awhile,91592,140.35767335614682,0.020536728098523888,0.006616298366669578
4,Lechowicz,91592,144.3645156095366,0.02433618656651236,0.006616298366669578
4,Spatial,91592,56.18933963130533,0.017479692549567646,0.006616298366669578
4,GreenFaaS-v1,91592,61.083272903160434,0.02701109267184907,0.006616298366669578
4,GreenFaaS,91592,56.33847146666439,0.017523364485981307,0.006616298366669578
