scheduler,carbon_mean_g,carbon_std_g,reduction_mean_pct,reduction_std_pct,n_windows
FIFO,214.56828717322435,96.30687499523842,0.0,0.0,5
Wait-Awhile,223.8506332621937,104.46100222078815,-3.8469857876111946,1.9884944747409692,5
Lechowicz,227.06177096887436,104.67159185225313,-5.557834623190921,1.814362218177798,5
Spatial,97.62503437615946,61.11272790346892,54.43988318879721,13.565236959152804,5
GreenFaaS-v1,103.02642566340741,60.34668787289421,51.49454009495015,13.615635863641788,5
GreenFaaS,97.73902433938477,61.15630363445453,54.38223747815036,13.569949153783126,5
