topology,scheduler,carbon_g,sla_viol,cold_rate,reduction_pct
Full 5-region (FR dominates),FIFO,231.3317666724302,0.0038893690579083835,0.016779849364119026,0.0
Full 5-region (FR dominates),Wait-Awhile,239.28873080357926,0.0038893690579083835,0.022508951722434868,-3.439633149223405
Full 5-region (FR dominates),Lechowicz,242.9094005307908,0.0038893690579083835,0.02504012841091493,-5.004774754845809
Full 5-region (FR dominates),Spatial,73.11391947898814,0.0038893690579083835,0.016779849364119026,68.39434525975902
Full 5-region (FR dominates),Caribou(1h),73.11391947898814,0.0038893690579083835,0.016779849364119026,68.39434525975902
Full 5-region (FR dominates),Caribou(3h),73.11391947898814,0.0038893690579083835,0.016779849364119026,68.39434525975902
Full 5-region (FR dominates),Caribou(6h),73.11391947898814,0.0038893690579083835,0.016779849364119026,68.39434525975902
Full 5-region (FR dominates),Caribou(24h),73.11391947898814,0.0038893690579083835,0.016779849364119026,68.39434525975902
Full 5-region (FR dominates),GreenFaaS-v1,78.32698336557876,0.006432892949746883,0.0298678849240647,66.14084416841412
Full 5-region (FR dominates),GreenFaaS,73.2194765390444,0.0038893690579083835,0.016841585380911222,68.34871509768719
Time-varying winner (DE/GB/CAISO),FIFO,223.8976057306897,0.002350236300932431,0.015212670839187635,0.0
Time-varying winner (DE/GB/CAISO),Wait-Awhile,231.85456986183877,0.002350236300932431,0.021139353685017244,-3.553840651927264
Time-varying winner (DE/GB/CAISO),Lechowicz,235.47979331045852,0.002350236300932431,0.023757823476816962,-5.1729841156498155
Time-varying winner (DE/GB/CAISO),Spatial,196.6149109132975,0.002350236300932431,0.01583854898454464,12.185344603554435
Time-varying winner (DE/GB/CAISO),Caribou(1h),196.63886627818965,0.002350236300932431,0.015774683867671477,12.174645353415531
Time-varying winner (DE/GB/CAISO),Caribou(3h),196.43742612026068,0.002350236300932431,0.015493677353429557,12.264615122083477
Time-varying winner (DE/GB/CAISO),Caribou(6h),198.51778667817075,0.002350236300932431,0.015621407587175885,11.335457996387195
Time-varying winner (DE/GB/CAISO),Caribou(24h),213.3822299665472,0.002350236300932431,0.015212670839187635,4.69651103674181
Time-varying winner (DE/GB/CAISO),GreenFaaS-v1,212.32777284734055,0.004202324690254183,0.028867032826670073,5.167466103798205
Time-varying winner (DE/GB/CAISO),GreenFaaS,196.81057505162408,0.002350236300932431,0.01582577596117001,12.097954594318729
Coal-belt (DE/GB/PL),FIFO,180.08818969354496,0.002612581643176349,0.01603300103128223,0.0
Coal-belt (DE/GB/PL),Wait-Awhile,184.83468646635015,0.002612581643176349,0.019965623925747678,-2.635651333317456
Coal-belt (DE/GB/PL),Lechowicz,186.75234890536245,0.002612581643176349,0.021560673771055347,-3.70049764127112
Coal-belt (DE/GB/PL),Spatial,173.0922361571584,0.002612581643176349,0.01603300103128223,3.8847375545789755
Coal-belt (DE/GB/PL),Caribou(1h),173.0922361571584,0.002612581643176349,0.01603300103128223,3.8847375545789755
Coal-belt (DE/GB/PL),Caribou(3h),173.0922361571584,0.002612581643176349,0.01603300103128223,3.8847375545789755
Coal-belt (DE/GB/PL),Caribou(6h),173.0922361571584,0.002612581643176349,0.01603300103128223,3.8847375545789755
Coal-belt (DE/GB/PL),Caribou(24h),173.0922361571584,0.002612581643176349,0.01603300103128223,3.8847375545789755
Coal-belt (DE/GB/PL),GreenFaaS-v1,176.2658149962304,0.004853901684427639,0.019113097284290136,2.122501594257275
Coal-belt (DE/GB/PL),GreenFaaS,175.13004878866244,0.002612581643176349,0.016046751460983156,2.7531738274007673
