carbon_g,cold_start_rate,cost_usd,energy_kwh,invocations,max_defer_s,p50_latency_ms,p95_latency_ms,p99_latency_ms,scheduler,setup,sla_violation_rate,vs_fifo_pct,warm_idle_carbon_g
51.00971357624054,0.0006814782302356875,0.6248482596016361,0.1584717176946667,173153.0,,92.10707489546621,1810.081173949584,3323.815094307065,FIFO,Synthetic carbon (§7.2 setup),2.8876196196427437e-05,0.0,3.2819953360671517
206.56257456937462,0.02017868590206349,0.6248482596016361,0.4991103843613336,173153.0,1800,92.11063309339806,600395.4496250954,1501049.3771303445,Wait-Awhile,Synthetic carbon (§7.2 setup),2.8876196196427437e-05,-304.94752878908133,153.89812938912834
51.00971357624054,0.0006814782302356875,0.6248482596016361,0.1584717176946667,173153.0,60,92.10707489546621,1810.081173949584,3323.815094307065,Wait-Awhile,Synthetic carbon (§7.2 setup),2.8876196196427437e-05,0.0,3.2819953360671517
51.00971357624054,0.0006814782302356875,0.6248482596016361,0.1584717176946667,173153.0,30,92.10707489546621,1810.081173949584,3323.815094307065,Wait-Awhile,Synthetic carbon (§7.2 setup),2.8876196196427437e-05,0.0,3.2819953360671517
13.983474798322792,0.00030031244044284534,0.6248482596016361,0.15187605102800006,173153.0,,92.44863208004972,1836.4804158227344,3351.923127248767,Spatial,Synthetic carbon (§7.2 setup),2.8876196196427437e-05,72.5866431744952,0.7053355864731496
14.587697056940675,0.0005082210530571229,0.6248482596016361,0.15428975102800005,173153.0,,92.44863208004972,1837.1124067448545,3352.0627778666676,GreenFaaS,Synthetic carbon (§7.2 setup),2.8876196196427437e-05,71.40211925491897,1.2796254985029134
52.59756143275179,0.0006814782302356875,0.6248482596016361,0.1584717176946667,173153.0,,92.10707489546621,1810.081173949584,3323.815094307065,FIFO,Real LWA carbon (§7.2.1 setup),2.8876196196427437e-05,0.0,3.2483878300025006
203.56113609621733,0.018336384584731424,0.6248482596016361,0.46730371769466694,173153.0,1800,92.10707489546621,604263.7044605145,1502361.9974024987,Wait-Awhile,Real LWA carbon (§7.2.1 setup),2.8876196196427437e-05,-287.01629990295055,148.96992168961287
52.59756143275179,0.0006814782302356875,0.6248482596016361,0.1584717176946667,173153.0,60,92.10707489546621,1810.081173949584,3323.815094307065,Wait-Awhile,Real LWA carbon (§7.2.1 setup),2.8876196196427437e-05,0.0,3.2483878300025006
52.59756143275179,0.0006814782302356875,0.6248482596016361,0.1584717176946667,173153.0,30,92.10707489546621,1810.081173949584,3323.815094307065,Wait-Awhile,Real LWA carbon (§7.2.1 setup),2.8876196196427437e-05,0.0,3.2483878300025006
12.393736633829612,0.0003060876796821308,0.6248482596016361,0.1519373843613334,173153.0,,92.39556097600143,1836.2542411317118,3359.289166325936,Spatial,Real LWA carbon (§7.2.1 setup),2.8876196196427437e-05,76.43667064360858,0.724741422940542
12.584368131829708,0.0003753905505535567,0.6248482596016361,0.15271368436133337,173153.0,,92.39556097600143,1836.2824440846452,3359.289166325936,GreenFaaS,Real LWA carbon (§7.2.1 setup),2.8876196196427437e-05,76.07423654437031,0.9031951527181286
