topology,regions,scheduler,carbon_g,reduction_pct,sla_viol,cold_rate,p95_ms,invocations
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,FIFO,56.953720886576804,0.0,6.352763163214037e-05,0.0007103544264321149,1969.860644581786,173153.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,Wait-Awhile,200.8177116842681,-252.5980542767277,6.352763163214037e-05,0.0167135423584922,603580.8564702237,173153.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,Spatial,13.558601962273857,76.19365029850151,6.352763163214037e-05,0.0003060876796821308,1996.3834198139375,173153.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,GreenFaaS-v1,16.25829975620413,71.453489775352,6.352763163214037e-05,0.003436267347374865,2026.4074168383374,173153.0
Full 5-region (FR/DE/GB/CAISO/PL),FR|DE|GB|US-CAISO|PL,GreenFaaS,13.76174864762177,75.83696300540528,6.352763163214037e-05,0.00038116578979284217,1996.4326555758016,173153.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,FIFO,57.19959062001816,0.0,3.465143543571292e-05,0.0005255467707749793,1968.7764058617176,173153.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,Wait-Awhile,201.8278403768551,-252.84840011813193,3.465143543571292e-05,0.015188879199320831,600502.2696788365,173153.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,Spatial,10.380914847018802,81.85141758097515,3.465143543571292e-05,0.00024833528728927595,1980.8867183237453,173153.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,GreenFaaS-v1,13.080612640949075,77.13163241351721,3.465143543571292e-05,0.00337851495498201,2010.3489811554027,173153.0
EU-only (FR/DE/GB/PL),FR|DE|GB|PL,GreenFaaS,10.556602760345763,81.54426868109216,3.465143543571292e-05,0.0003118629189214163,1981.010020368558,173153.0
Coal-belt (DE/GB/PL),DE|GB|PL,FIFO,72.95572598985888,0.0,3.465143543571292e-05,0.0003696153113142712,1968.3214248798322,173153.0
Coal-belt (DE/GB/PL),DE|GB|PL,Wait-Awhile,265.2168192156505,-263.5311904819049,3.465143543571292e-05,0.020063181117277784,1201825.497700702,173153.0
Coal-belt (DE/GB/PL),DE|GB|PL,Spatial,41.562534167762806,43.03047005036979,3.465143543571292e-05,0.00035228959359641474,1979.216257467342,173153.0
Coal-belt (DE/GB/PL),DE|GB|PL,GreenFaaS-v1,56.74806560078872,22.21574820778712,3.465143543571292e-05,0.002356297609628479,1993.697387734428,173153.0
Coal-belt (DE/GB/PL),DE|GB|PL,GreenFaaS,42.47452386531208,41.780410942362224,3.465143543571292e-05,0.0003984915075106986,1980.6192849682702,173153.0
Single-region DE,DE,FIFO,39.77255489775526,0.0,2.8876196196427437e-05,0.00015593145946070816,1966.3806096941698,173153.0
Single-region DE,DE,Wait-Awhile,104.45296922138134,-162.62574654784524,2.8876196196427437e-05,0.015673999295420814,1200804.9935070667,173153.0
Single-region DE,DE,Spatial,39.77255489775526,0.0,2.8876196196427437e-05,0.00015593145946070816,1966.3806096941698,173153.0
Single-region DE,DE,GreenFaaS-v1,54.98570762376953,-38.250378345377264,2.8876196196427437e-05,0.0031706063423677325,1995.7356562081259,173153.0
Single-region DE,DE,GreenFaaS,39.77255489775526,0.0,2.8876196196427437e-05,0.00015593145946070816,1966.3806096941698,173153.0
Single-region CAISO,US-CAISO,FIFO,50.16756706448052,0.0,2.8876196196427437e-05,0.00015593145946070816,1966.3806096941698,173153.0
Single-region CAISO,US-CAISO,Wait-Awhile,155.9453728333618,-210.8489846297006,2.8876196196427437e-05,0.018960110422574256,1200717.8556655855,173153.0
Single-region CAISO,US-CAISO,Spatial,50.16756706448052,0.0,2.8876196196427437e-05,0.00015593145946070816,1966.3806096941698,173153.0
Single-region CAISO,US-CAISO,GreenFaaS-v1,70.14292133656714,-39.81726729225724,2.8876196196427437e-05,0.0029800234474713114,1992.9656514104863,173153.0
Single-region CAISO,US-CAISO,GreenFaaS,50.16756706448052,0.0,2.8876196196427437e-05,0.00015593145946070816,1966.3806096941698,173153.0
