axis,x,scheduler,carbon_g,reduction_pct,sla_viol,cold_rate,invocations
sla_mix,0.0,FIFO,1.0931045267758455,0.0,0.00026421824426976683,0.0013871457824162759,15139.0
sla_mix,0.0,Wait-Awhile,1.0931045267758455,0.0,0.00026421824426976683,0.0013871457824162759,15139.0
sla_mix,0.0,Spatial,1.0931045267758455,0.0,0.00026421824426976683,0.0013871457824162759,15139.0
sla_mix,0.0,GreenFaaS-v1,1.0931045267758455,0.0,0.00026421824426976683,0.0013871457824162759,15139.0
sla_mix,0.0,GreenFaaS,1.0931045267758455,0.0,0.00026421824426976683,0.0013871457824162759,15139.0
sla_mix,0.25,FIFO,7.716040600447682,0.0,0.00026421824426976683,0.006539401545676729,15139.0
sla_mix,0.25,Wait-Awhile,25.020272243035876,-224.26309734015922,0.00026421824426976683,0.02351542374000925,15139.0
sla_mix,0.25,Spatial,2.0635835962203855,73.25592615336087,0.00026421824426976683,0.0023779641984279015,15139.0
sla_mix,0.25,GreenFaaS-v1,5.449666431290227,29.37224266323794,0.00026421824426976683,0.026091551621639474,15139.0
sla_mix,0.25,GreenFaaS,2.426661922389744,68.55042569049014,0.00026421824426976683,0.0036330008587092937,15139.0
sla_mix,0.5,FIFO,10.53355002861794,0.0,0.00013210912213488342,0.004821982957923245,15139.0
sla_mix,0.5,Wait-Awhile,38.0848237767794,-261.5573446113527,0.00013210912213488342,0.034480480877204574,15139.0
sla_mix,0.5,Spatial,2.7942959399725877,73.47241972192717,0.00013210912213488342,0.002444018759495343,15139.0
sla_mix,0.5,GreenFaaS-v1,9.863429694471902,6.36177102995125,0.00013210912213488342,0.05231521236541383,15139.0
sla_mix,0.5,GreenFaaS,3.046215212482171,71.08083025944624,0.00013210912213488342,0.0036990554197767356,15139.0
sla_mix,0.75,FIFO,14.338217523467671,0.0,0.00019816368320232512,0.0040953827861813855,15139.0
sla_mix,0.75,Wait-Awhile,56.31553303578846,-292.76523001283533,0.00019816368320232512,0.048682211506704536,15139.0
sla_mix,0.75,Spatial,3.550105373096691,75.24026004427567,0.00019816368320232512,0.002245855076293018,15139.0
sla_mix,0.75,GreenFaaS-v1,14.282987026954764,0.38519778642296487,0.00019816368320232512,0.07814254574278354,15139.0
sla_mix,0.75,GreenFaaS,3.766269419072322,73.73265252177974,0.00019816368320232512,0.0032366734923046435,15139.0
sla_mix,1.0,FIFO,18.020945546829726,0.0,0.0,0.003368782614439527,15139.0
sla_mix,1.0,Wait-Awhile,71.09422603902804,-294.50885556632215,0.0,0.06103441442631614,15139.0
sla_mix,1.0,Spatial,3.9404588381645045,78.13400618782894,0.0,0.0012550366602813925,15139.0
sla_mix,1.0,GreenFaaS-v1,18.583044107405513,-3.119140220001789,0.0,0.10496069753616487,15139.0
sla_mix,1.0,GreenFaaS,4.074482514934777,77.39029561824758,0.0,0.0017174185877534844,15139.0
